experiment_id,dataset,model_name,training_strategy,head_type,learning_rate,batch_size,weight_decay,epochs,frozen_epochs,patience,seed,epoch,phase,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,epoch_time,trainable_parameters
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,16,train_val,0.6536690367592706,77.52666666666667,98.62222222222222,0.5917320161223412,79.52,98.78,26.35784699999931,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,17,train_val,0.6419154241985745,77.78222222222222,98.69777777777776,0.5930864407300949,80.1,98.7,26.16326609999669,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,18,train_val,0.6368459342055851,78.00666666666666,98.71777777777778,0.577207178735733,80.18,98.86,26.067708700000367,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,19,train_val,0.6264398831049601,78.58666666666667,98.73333333333332,0.5542420595169067,81.32,98.7,26.202374899999995,141354
cifar10_small_cnn_full_training_linear_lr0p001_bs64_wd0p0001_seed7,cifar10,small_cnn,full_training,linear,0.001,64,0.0001,20,0,5,7,20,train_val,0.6198422690073649,78.74222222222222,98.67777777777778,0.5467344675183297,81.22,98.9,26.071059500005504,141354
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,5,42,1,train_val,1.1806551187727186,58.64,93.75777777777778,0.766816482257843,73.48,97.84,48.96651470000506,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,5,42,2,train_val,0.7670789881812201,73.61777777777777,98.18444444444444,0.6457631855964661,78.1,98.32,49.09745370000019,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,5,42,3,train_val,0.6598627736409505,77.12444444444445,98.70666666666666,0.5859886951446533,79.88,98.68,48.98505549999391,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,5,42,4,train_val,0.5918748789257473,79.55555555555556,99.0111111111111,0.6015811318397521,79.82,98.66,49.13524959999632,11181642
cifar10_resnet18_full_training_linear_lr0p001_bs64_wd0p0001_seed42,cifar10,resnet18,full_training,linear,0.001,64,0.0001,20,0,5,42,5,train_val,0.5561268482314216,80.70666666666666,99.11777777777776,0.5277473489761353,81.84,98.92,48.954313200003526,11181642
